"npc_dota_hero_sanya"		            "Саня"
"npc_dota_hero_sanya_towel_master"		"Towel Master"
"npc_dota_hero_sanya_rapper"			"Кварц-ксеон"
"npc_dota_hero_sanya_logarithmus"		"Интегралус"

"npc_jungle_creep_melee"		        "Ящерица боец"
"npc_jungle_venomancer"		            "Чумная мамочка"
"npc_jungle_creep_range"		        "Ящерица стрелок"
"npc_jungle_pomidorko"		        "Помидорка"
"npc_jungle_icebear"		        "Ледяной колдун"
"npc_jungle_bufferbear"		        "Задумчивый клерик"
"npc_jungle_apple_melee"		        "Волк 80 кг"
"npc_jungle_apple_ranged"		        "Яблочный тролль"
"npc_jungle_axe"		            "Голый драчун"
"npc_jungle_sisipisi"		            "Поклонник драчуна"
